               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12564,             0.03483,                   0,                   0,                   0,                   0,                   0,             0.12673,            0.036223,                   0,                   0,                   0,                 0.1
                   1,             0.12805,            0.037973,                   0,                   0,                   0,                   0,                   0,             0.12661,            0.035785,                   0,           9.967e-05,           9.967e-05,              0.0991
                   2,             0.12681,            0.035446,                   0,                   0,                   0,                   0,                   0,              0.1263,            0.035769,                   0,          0.00019868,          0.00019868,            0.098199
                   3,             0.12783,            0.034507,                   0,                   0,                   0,                   0,                   0,             0.12584,            0.035841,                   0,          0.00029703,          0.00029703,            0.097297
                   4,             0.12303,            0.036488,                   0,                   0,                   0,                   0,                   0,             0.12531,            0.035927,                   0,          0.00039472,          0.00039472,            0.096395
                   5,             0.12442,            0.036403,                   0,                   0,                   0,                   0,                   0,              0.1247,            0.035908,                   0,          0.00049175,          0.00049175,            0.095492
                   6,             0.12256,            0.035568,                   0,                   0,                   0,                   0,                   0,             0.12405,            0.035976,                   0,          0.00058812,          0.00058812,            0.094588
                   7,              0.1261,            0.038177,                   0,                   0,                   0,                   0,                   0,             0.12358,            0.035892,                   0,          0.00068383,          0.00068383,            0.093684
                   8,             0.12157,              0.0377,                   0,                   0,                   0,                   0,                   0,             0.12322,            0.035829,                   0,          0.00077888,          0.00077888,            0.092779
                   9,             0.12031,            0.042245,                   0,                   0,                   0,                   0,                   0,             0.12285,            0.035812,                   0,          0.00087327,          0.00087327,            0.091873
                  10,             0.12005,            0.035657,                   0,                   0,                   0,                   0,                   0,             0.12248,            0.035908,                   0,            0.000967,            0.000967,            0.090967
                  11,             0.11976,            0.040151,                   0,                   0,                   0,                   0,                   0,             0.12213,            0.035625,                   0,           0.0010601,           0.0010601,             0.09006
                  12,             0.12063,            0.039902,                   0,                   0,                   0,                   0,                   0,             0.12194,            0.035669,                   0,           0.0011525,           0.0011525,            0.089152
                  13,              0.1199,            0.037924,                   0,                   0,                   0,                   0,                   0,             0.12156,            0.035602,                   0,           0.0012442,           0.0012442,            0.088244
                  14,             0.11561,            0.034567,                   0,                   0,                   0,                   0,                   0,             0.12134,            0.035538,                   0,           0.0013353,           0.0013353,            0.087335
                  15,             0.11791,            0.036682,                   0,                   0,                   0,                   0,                   0,             0.12088,            0.035226,                   0,           0.0014257,           0.0014257,            0.086426
                  16,             0.11368,            0.034936,                   0,                   0,                   0,                   0,                   0,             0.11996,            0.035261,                   0,           0.0015155,           0.0015155,            0.085516
                  17,             0.11567,             0.03944,                   0,                   0,                   0,                   0,                   0,             0.11996,            0.035091,                   0,           0.0016046,           0.0016046,            0.084605
                  18,             0.11161,            0.034898,                   0,                   0,                   0,                   0,                   0,             0.11924,            0.035099,                   0,           0.0016931,           0.0016931,            0.083693
                  19,              0.1146,            0.035767,                   0,                   0,                   0,                   0,                   0,             0.11924,            0.035099,                   0,           0.0017809,           0.0017809,            0.082781
                  20,              0.1104,            0.040485,                   0,                   0,                   0,                   0,                   0,             0.11854,            0.034755,                   0,            0.001868,            0.001868,            0.081868
                  21,             0.10992,            0.035932,                   0,                   0,                   0,                   0,                   0,             0.11854,             0.03494,                   0,           0.0019545,           0.0019545,            0.080954
                  22,             0.11413,            0.040547,                   0,                   0,                   0,                   0,                   0,             0.11806,            0.034829,                   0,           0.0020403,           0.0020403,             0.08004
                  23,             0.10959,            0.037775,                   0,                   0,                   0,                   0,                   0,             0.11806,            0.034829,                   0,           0.0021254,           0.0021254,            0.079125
                  24,             0.11367,             0.03488,                   0,                   0,                   0,                   0,                   0,             0.11731,            0.034784,                   0,           0.0022099,           0.0022099,             0.07821
                  25,             0.10619,            0.034338,                   0,                   0,                   0,                   0,                   0,             0.11731,            0.034784,                   0,           0.0022938,           0.0022938,            0.077294
                  26,             0.10974,            0.039471,                   0,                   0,                   0,                   0,                   0,             0.11678,            0.034589,                   0,           0.0023769,           0.0023769,            0.076377
                  27,             0.11232,            0.036673,                   0,                   0,                   0,                   0,                   0,             0.11678,            0.034387,                   0,           0.0024594,           0.0024594,            0.075459
                  28,             0.10649,            0.036899,                   0,                   0,                   0,                   0,                   0,             0.11581,            0.034355,                   0,           0.0025413,           0.0025413,            0.074541
                  29,             0.10968,            0.036505,                   0,                   0,                   0,                   0,                   0,             0.11581,            0.034442,                   0,           0.0026225,           0.0026225,            0.073622
                  30,              0.1086,            0.041059,                   0,                   0,                   0,                   0,                   0,             0.11486,            0.034485,                   0,            0.002703,            0.002703,            0.072703
                  31,             0.10756,            0.039868,                   0,                   0,                   0,                   0,                   0,             0.11486,            0.034285,                   0,           0.0027829,           0.0027829,            0.071783
                  32,             0.11001,            0.030424,                   0,                   0,                   0,                   0,                   0,             0.11437,            0.034314,                   0,           0.0028621,           0.0028621,            0.070862
                  33,             0.10142,            0.037742,                   0,                   0,                   0,                   0,                   0,             0.11437,            0.034112,                   0,           0.0029406,           0.0029406,            0.069941
                  34,             0.10712,            0.035845,                   0,                   0,                   0,                   0,                   0,             0.11422,            0.033978,                   0,           0.0030185,           0.0030185,            0.069019
                  35,             0.10597,            0.038113,                   0,                   0,                   0,                   0,                   0,             0.11422,            0.033978,                   0,           0.0030958,           0.0030958,            0.068096
                  36,             0.10418,            0.038154,                   0,                   0,                   0,                   0,                   0,             0.11489,            0.033925,                   0,           0.0031723,           0.0031723,            0.067172
                  37,             0.10385,            0.036785,                   0,                   0,                   0,                   0,                   0,             0.11489,            0.033925,                   0,           0.0032482,           0.0032482,            0.066248
                  38,             0.10831,            0.039845,                   0,                   0,                   0,                   0,                   0,              0.1153,            0.033539,                   0,           0.0033235,           0.0033235,            0.065323
                  39,              0.1064,            0.033661,                   0,                   0,                   0,                   0,                   0,              0.1153,            0.033539,                   0,           0.0033981,           0.0033981,            0.064398
                  40,             0.10058,            0.038376,                   0,                   0,                   0,                   0,                   0,             0.11295,            0.033434,                   0,            0.003472,            0.003472,            0.063472
                  41,             0.10097,            0.033383,                   0,                   0,                   0,                   0,                   0,             0.11295,            0.033216,                   0,           0.0035453,           0.0035453,            0.062545
                  42,            0.099031,            0.038659,                   0,                   0,                   0,                   0,                   0,             0.11125,            0.033022,                   0,           0.0036179,           0.0036179,            0.061618
                  43,             0.10115,            0.038899,                   0,                   0,                   0,                   0,                   0,             0.11125,            0.033246,                   0,           0.0036898,           0.0036898,             0.06069
                  44,            0.095132,            0.036444,                   0,                   0,                   0,                   0,                   0,             0.10874,            0.033149,                   0,           0.0037611,           0.0037611,            0.059761
                  45,            0.097936,            0.041705,                   0,                   0,                   0,                   0,                   0,             0.10874,            0.033386,                   0,           0.0038317,           0.0038317,            0.058832
                  46,            0.095439,            0.035948,                   0,                   0,                   0,                   0,                   0,             0.10705,            0.033219,                   0,           0.0039017,           0.0039017,            0.057902
                  47,            0.092314,             0.03543,                   0,                   0,                   0,                   0,                   0,             0.10705,            0.033219,                   0,            0.003971,            0.003971,            0.056971
                  48,             0.10034,            0.037699,                   0,                   0,                   0,                   0,                   0,             0.10529,            0.033415,                   0,           0.0040397,           0.0040397,             0.05604
                  49,            0.096104,            0.033049,                   0,                   0,                   0,                   0,                   0,             0.10529,            0.033415,                   0,           0.0041077,           0.0041077,            0.055108
                  50,              0.1008,            0.039356,                   0,           0.0016667,             0.16667,           0.0010906,          0.00023517,              0.1043,            0.033226,                   0,            0.004175,            0.004175,            0.054175
